Pokémon,Rareza,Nivel,Método,Generación
Spearow,Common,13-17,Walking,Generation 3
Ekans,Common,12-15,Walking,Generation 3
Drowzee,Common,11-15,Walking,Generation 3
Tentacool,Common,5-40,Surfing,Generation 3
Horsea,Common,15-35,Super Rod,Generation 3
Psyduck,Rare,25-35,Super Rod,Generation 3
Gyarados,Uncommon,15-25,Super Rod,Generation 3
Horsea,Common,5-15,Good Rod,Generation 3
Krabby,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Uncommon,5-15,Good Rod,Generation 3
Magikarp,Common,5,Old Rod,Generation 3
Nidorina,Limited,—,Trade,Generation 3
